Name,Specialities,Locations,Areas of Focus
"Kevin Arce, M.D., D.M.D.",Oral and Maxillofacial Surgeon,"Rochester, MN","Head and neck reconstruction, Head and neck cancer surgery, Microvascular reconstruction, Parotidectomy, Tracheostomy, ...Radial forearm free flap, Orbital reconstruction, Skin biopsy, Reconstructive surgery, Neck surgery, Minimally invasive cancer surgery , Dental implant surgery, Facial reconstruction, Temporalis flap, Maxillary reconstruction, Jaw surgery, Cancer treatment, Buccal fat pad flap, Neck dissection, Vermilionectomy, Cancer rehabilitation, Vascularized bone grafting, Parotid gland surgery, Glossectomy, Flap surgery, Nonunion surgery, Skin cyst removal, Skin cancer excision, Trauma care, Craniofacial surgery , Mandibular reconstruction, Oral cancer screening, Oral biopsy, Facial fracture repair, Nonvascularized bone graft, Nerve graft, Microvascular surgery, Submandibular gland removal, Iliac crest bone graft, Fibula free flap, Free muscle transfer, Skin cancer reconstruction, Tongue cancer, Parotid gland tumor, Soft palate cancer, Acinic cell carcinoma, Gum cancer, Skin cancer, Mucoepidermoid carcinoma, Basal cell carcinoma, Ameloblastoma, Mouth cancer, Nasal cancer, Radiation injury, Nasopharyngeal carcinoma, Head and neck cancer, Neck metastasis, Floor of the mouth cancer, Osteoradionecrosis, Facial injury, Lip cancer, Jaw cancer, Central giant cell granuloma, Roof of mouth cancer, Cancer, Salivary gland tumor, Osteoblastoma, Nasal and paranasal tumors, Chondrosarcoma, Facial fracture, Osteosarcoma, Soft tissue sarcoma, Sarcoma, Jaw tumors and cysts, Facial skin cancer, Adenoid cystic carcinoma, Inner cheek cancer, Warthin's tumor, Fibrous dysplasia, Oral and throat cancer, Mouth tumor, Facial deformity, Osteomyelitis"
N/A,,,
N/A,,,
"Alberto E. Ardon, M.D., M.P.H.",,"Jacksonville, FL",
N/A,,,
"Tina Ardon, M.D.",Family Physician,"Jacksonville, FL","Preventive care, High blood pressure, Chronic illness, Diabetes, Other disorders of infancy, childhood, or adolescence"
N/A,,,
N/A,,,
"Katherine W. Arendt, M.D.",Anesthesiologist,"Rochester, MN",General anesthesia administration
N/A,,,
N/A,,,
"Arman Arghami, M.D., M.P.H.",Cardiovascular Surgeon,"Rochester, MN","Robotic heart surgery, Heart valve surgery, Heart valve repair, Heart valve replacement, Maze procedure, Pericardiectom...y, Coronary bypass surgery, Minimally invasive heart surgery, Pericardial disease, Heart valve disease, Heart arrhythmia, Coronary artery disease"
N/A,,,
N/A,,,
"Brian J. Arizmendi, Ph.D.",Psychologist,"Phoenix, AZ",
N/A,,,
N/A,,,
"Courtney A. Arment, M.D.",Rheumatologist,"Rochester, MN",
N/A,,,
N/A,,,
"Sarah Armour, M.D.","Echocardiographer, Anesthesiologist","Rochester, MN",Heart surgery
N/A,,,
N/A,,,
N/A,,,
"Elizabeth A. Armstrong, M.D.",Pediatrician,"Rochester, MN",
N/A,,,
N/A,,,
"Ricky R. Arnold, M.D.",Emergency Medicine Physician,"Phoenix, AZ",
N/A,,,
N/A,,,
"Amindra S. Arora, M.B., B.Chir.","Internist, Gastroenterologist","Rochester, MN",Esophagitis
N/A,,,
N/A,,,
N/A,,,
"Christopher J. Arpey, M.D.","Dermatologist, Internist","Phoenix, AZ","Laser skin surgery, Wound care, Mohs surgery, Skin tumor, Skin cancer"
N/A,,,
N/A,,,
N/A,,,
"Adelaide M. Arruda-Olson, M.D., Ph.D.","Echocardiographer, Internist, Clinical Informaticist, Cardiologist","Rochester, MN","Cardiovascular disease prevention, Stress echocardiogram, Echocardiogram, Arteriosclerosis/atherosclerosis"
N/A,,,
N/A,,,
N/A,,,
N/A,,,
N/A,,,
"Reza Arsanjani, M.D.","Echocardiographer, Internist, Cardiologist","Phoenix, AZ","Percutaneous valve procedure, Echocardiogram, Arteriosclerosis/atherosclerosis, Heart disease"
N/A,,,
N/A,,,
N/A,,,
N/A,,,
"Grace M. Arteaga, M.D.","Pediatric Critical Care Specialist, Pediatrician","Rochester, MN",
N/A,,,
N/A,,,
N/A,,,
"Manuel Arteta, M.D.",Pediatric Pulmonologist,"Rochester, MN","Bronchoscopy, Interstitial lung disease, Cystic fibrosis, Childhood asthma"
N/A,,,
N/A,,,
"Vichaya Arunthari, M.D.","Pulmonologist, Sleep Medicine Specialist","Jacksonville, FL","Lung cancer screening, COPD, Restless legs syndrome, Sleep apnea, Sleep condition, Asthma"
N/A,,,
N/A,,,
N/A,,,
"Motaz H. Ashkar, M.B.B.S., M.S.",,"Rochester, MN",
N/A,,,
"Jonathan B. Ashman, M.D., Ph.D.",Radiation Oncologist,"Phoenix, AZ","Brachytherapy, Brain stereotactic radiosurgery, Stereotactic radiosurgery, Total body irradiation, Spinal tumor, Gliobl...astoma, Pancreatic neuroendocrine tumor, Chordoma, Brain tumor, Glioma, Acoustic neuroma, Astrocytoma, Gallbladder cancer, Neurofibroma, Esophageal cancer, Colon cancer, Oligodendroglioma, Anal cancer, Meningioma, Neurofibromatosis, Stomach cancer, Sarcoma, Brain metastasis, Pancreatic cancer, Ependymoma, Neuroendocrine tumor, Choroid plexus papilloma, Pituitary tumor, Gynecologic cancer"
N/A,,,
N/A,,,
"Aneel A. Ashrani, M.D., M.S.","Oncologist, Hematologist, Internist","Rochester, MN","Bleeding disorder, Thrombophlebitis, Acute lymphocytic leukemia, von Willebrand disease, Acute myelogenous leukemia, Th...rombophilia, Hemophilia"
N/A,,,
N/A,,,
N/A,,,
N/A,,,
"Samuel J. Asirvatham, M.D.",Cardiac Electrophysiologist,"Rochester, MN","Ultrasound, Endovenous thermal ablation, Percutaneous valve procedure, Ablation, Vasovagal syncope, Ventricular tachyca...rdia, Heart arrhythmia, Atrial fibrillation, Seizure "
N/A,,,
N/A,,,
"J. Wells Askew, III, M.D.","Echocardiographer, Cardiologist","Rochester, MN","Echocardiogram, Nuclear stress test, Coronary artery disease, Ischemic heart disease"
N/A,,,
N/A,,,
N/A,,,
"Fawad Aslam, M.B.B.S., M.S.","Rheumatologist, Sonographer","Phoenix, AZ","Interventional musculoskeletal ultrasound, Ultrasound, Inflammatory arthritis, Rheumatoid arthritis, Pseudogout, Gout"
N/A,,,
N/A,,,
N/A,,,
"Nabeel Aslam, M.D.","Nephrologist, Internist","Jacksonville, FL","Continuous renal replacement therapy, End-stage renal disease, Chronic kidney disease, High blood pressure, Glomerulone...phritis, IgA nephropathy"
N/A,,,
N/A,,,
N/A,,,
"James W. Atchison, D.O.",,"Jacksonville, FL",
N/A,,,
"Janhavi Athale, M.D.","Critical Care Specialist, Hematologist / Oncologist","Phoenix, AZ",
N/A,,,
N/A,,,
N/A,,,
"John L. Atkinson, M.D.",Neurosurgeon,"Rochester, MN","Brain tumor surgery, Chiari malformation surgery, Hemifacial spasm surgery, Hyperhidrosis surgery, Trigeminal neuralgia... surgery, Pituitary tumor surgery, Spinal cord tumor"
N/A,,,
N/A,,,
"Patty P. Atkinson, M.D.","Internist, Neurologist","Rochester, MN",Myelopathy
N/A,,,
N/A,,,
N/A,,,
"Albert N. Attia, M.D.",Radiation Oncologist,"Jacksonville, FL","Stereotactic body radiotherapy, Stereotactic radiosurgery, Brachytherapy, Intensity-modulated radiation therapy, Testic...ular cancer, Prostate cancer, Kidney cancer, Bladder cancer"
N/A,,,
N/A,,,
"Steven Attia, D.O.",Oncologist,"Jacksonville, FL","Rhabdomyosarcoma, Neurofibromatosis, Giant cell tumor, Chordoma, Soft tissue sarcoma, Gastrointestinal stromal tumors, ...Desmoid tumor, Bone cancer, Benign bone tumor, Pigmented villonodular synovitis"
N/A,,,
N/A,,,
"Thomas D. Atwell, M.D.",Radiologist,"Rochester, MN","Ultrasound, Radiofrequency ablation for cancer, Kidney biopsy"
N/A,,,
N/A,,,
"Marie-Christine Aubry, M.D.",Pathologist,"Rochester, MN",
N/A,,,
N/A,,,
"R. Robert Auger, M.D.","Sleep Medicine Specialist, Psychiatrist","Rochester, MN","Multiple sleep latency test, Polysomnography, Central sleep apnea, Delayed sleep phase, Parasomnia, Insomnia, Sleep dis...orders, Sleep related eating disorder, Night terrors, Pediatric obstructive sleep apnea, Sleepwalking, Narcolepsy, Nightmare disorder, Restless legs syndrome, REM sleep behavior disorder, Obstructive sleep apnea, Idiopathic hypersomnia"
N/A,,,
N/A,,,
N/A,,,
"Ernesto Ayala, M.D.",,"Jacksonville, FL","Autologous stem cell transplant, Allogeneic stem cell transplant, CAR t-cell therapy, Bone marrow transplant, Acute lym...phocytic leukemia, Hodgkin lymphoma, Graft versus host disease, Acute myelogenous leukemia, Non-Hodgkin's lymphoma"
N/A,,,
"Chadi Ayoub, M.B.B.S., Ph.D.","Cardiac Imager, Cardiologist, Echocardiographer, Cardio-Oncologist","Phoenix, AZ","Stress echocardiogram, Echocardiogram, Intraoperative echocardiography, Percutaneous valve procedure, Left atrial appen...dage closure, Transesophageal echocardiogram, Mitral valve disease, Heart valve disease, Aortic valve disease, Hypertrophic cardiomyopathy, Carcinoid heart disease, Structural heart disease, Tricuspid valve disease, Cardiac complication of cancer treatment"
N/A,,,
N/A,,,
N/A,,,
N/A,,,
N/A,,,
"Natalya Azadeh, M.D.","Pulmonologist, Critical Care Specialist","Phoenix, AZ","Mechanical ventilation, Endobronchial ultrasound biopsy, Chest tube placement, Lung biopsy, Bronchoscopy, Thoracentesis..., Central venous catheterization, Lung cancer, Interstitial lung disease"
N/A,,,
N/A,,,
N/A,,,
"Jehad Azar, M.B.B.S.","Critical Care Specialist, Pulmonologist, Internist","Phoenix, AZ","Pleurodesis, Echocardiogram, Central venous catheterization, Bronchoscopy, Endobronchial ultrasound biopsy, Endotrachea...l intubation, Chest tube placement, Right heart catheterization, Right heart catheterization with exercise, Connective tissue disease-associated ILD, Sarcoidosis, Interstitial lung disease, Pulmonary hypertension"
N/A,,,
N/A,,,
N/A,,,
N/A,,,
"Keith T. Aziz, M.D.","Orthopedic Surgeon, Hand Surgeon","Jacksonville, FL","Elbow replacement revision, Elbow replacement, Elbow fracture fixation, Wrist ligament reconstruction, Wrist fusion, Ha...nd fracture treatment, Finger joint replacement, Elbow dislocation stabilization, Wrist fracture treatment, Hand surgery, Finger fusion, Wrist reconstruction, Wrist arthroscopy, Elbow arthroscopy, Elbow surgery, Elbow ligament reconstruction, Humerus fracture fixation, Finger ligament reconstruction, Forearm ligament reconstruction, Hand reconstruction, Tendinopathy, Sprain, Nerve entrapment, Contracture, Elbow instability, Joint instability, Sprained finger, Trigger finger, Tendinosis, Cubital tunnel syndrome, Wrist ligament injury, Fracture, Elbow impingement, Stress fracture, Elbow loose body, Cartilage injury, Finger instability, Sprained thumb, Carpal tunnel syndrome, Tenosynovitis, Broken elbow, Dupuytren's contracture, Sports injury, Tendinitis, Hand mass, Strain, Arthritis, Hand injury, Nerve compression syndrome, Hand arthritis, Ligament pain, Wrist instability, Wrist pain"
N/A,,,
N/A,,,
N/A,,,
"Samir Babayev, M.D.","Gynecologist, Reproductive Endocrinologist","Rochester, MN","Egg freezing, Hysterosalpingography, Ovary transplant, Preimplantation genetic diagnosis, Robotic surgery, Myomectomy, ...Fertility sparing surgery, Genetic testing, Ovarian tissue freezing, Hysteroscopy, Egg donation, In vitro fertilization, Robotic myomectomy, Tubal ligation reversal, Gestational surrogacy, Assisted reproductive technology, Third-party reproduction, Intracytoplasmic sperm injection, Embryo freezing, Sperm donation, Fertility preservation, Embryo transfer, Recurrent miscarriage, Septate uterus, Uterine polyps, Advanced maternal age, Male infertility, Adenomyosis, Heavy menstrual bleeding, Diminished ovarian reserve, Menstrual cycle conditions, Mullerian anomalies, Uterine anomaly, Endometriosis, Female infertility, Double uterus, Uterine fibroid"
N/A,,,
N/A,,,
N/A,,,
"James W. Baber, M.D.",Anesthesiologist,"Rochester, MN",
N/A,,,
N/A,,,
"Hani M. Babiker, M.D.",,"Jacksonville, FL","Hepatocellular carcinoma, Stomach cancer, Liver cancer, Pancreatic cancer, Colon cancer, Anal cancer, Esophageal cancer..., Cholangiocarcinoma"
N/A,,,
"Dusica Babovic-Vuksanovic, M.D.","Medical Geneticist, Pediatrician","Rochester, MN, Jacksonville, FL","Metabolic disorders, Neurofibromatosis"
N/A,,,
N/A,,,
N/A,,,
N/A,,,
"Corrie R. Bach, M.D.",Radiologist,"Rochester, MN",Radiopharmaceutical therapy
N/A,,,
N/A,,,
"John W. Bachman, M.D.",Family Physician,"Rochester, MN",
N/A,,,
N/A,,,
"Talha Badar, M.B.B.S., M.D.",Hematologist / Oncologist,"Jacksonville, FL","Myeloproliferative disorders, Myelodysplastic syndromes, Chronic myelogenous leukemia, Acute lymphocytic leukemia, Acut...e myelogenous leukemia, Chronic lymphocytic leukemia"
N/A,,,
N/A,,,
"Andrew D. Badley, M.D.",Infectious Disease Specialist,"Rochester, MN","HIV/AIDS, General infectious diseases"
N/A,,,
N/A,,,
"Dilhana S. Badurdeen, M.B.B.S., M.D.","Gastroenterologist, Bariatrician","Jacksonville, FL","Transoral outlet reduction, Intragastric balloon procedure, Colonoscopy, Endoscopic sleeve gastroplasty, Gastrointestin...al bleeding, Obesity, Gastroesophageal reflux disease, Weight regain after bariatric surgery, Colon cancer"
N/A,,,
N/A,,,
N/A,,,
"Francis Baffour, M.D.",Radiologist,"Rochester, MN","Pain management, MRI, CT scan, X-ray, Facet joint syndrome, Radiculopathy"
N/A,,,
N/A,,,
"Remzi Bag, M.D.","Transplant Pulmonologist, Critical Care Specialist","Jacksonville, FL","Lung transplant, Post-transplant long-term care, Pre-transplant evaluation, Bronchoscopy, Pulmonary fibrosis, Cystic fi...brosis, Pulmonary valve disease, Interstitial lung disease, Pulmonary hypertension, COPD, Hepatopulmonary syndrome, Advanced lung disease"
N/A,,,
N/A,,,
N/A,,,
"Gabor Bagameri, M.D.",Cardiovascular Surgeon,"Rochester, MN","Aortic arch replacement, Heart valve surgery, Pericardiectomy, Mitral valve repair and replacement, Aortic valve repair... and replacement, Minimally invasive heart surgery, Septal myectomy, Endovascular treatment, Vascular stenting, Coronary bypass surgery, Transcatheter aortic valve replacement, Valve-sparing aortic root replacement, Tricuspid valve repair and replacement, Pulmonary valve repair and replacement, Aortic root surgery, Hypertrophic cardiomyopathy, Tricuspid valve disease"
N/A,,,
N/A,,,
"Sanjay P. Bagaria, M.D.",General Surgeon,"Jacksonville, FL","Sentinel node biopsy, Intraperitoneal chemotherapy, Breast cancer, Colon cancer, Peritoneal cancer, Gastrointestinal st...romal tumors, Melanoma, Sarcoma"
N/A,,,
N/A,,,
"Mark M. Bahn, M.D., Ph.D.",Radiologist,"Rochester, MN",
N/A,,,
N/A,,,
"Jonathan Baines, M.D., Ph.D.",Family Physician,"Rochester, MN",
N/A,,,
N/A,,,
"K. Drew (Drew) Baker, M.D.",,"Rochester, MN",
N/A,,,
"Lyle W. Baker, M.D.","Hospitalist, Nephrologist, Internist","Jacksonville, FL","Point of care ultrasound, Nephritis, High blood pressure, End-stage renal disease, Kidney failure, Acute kidney injury ..., Chronic kidney disease, Glomerulonephritis, Nephrotic syndrome, Resistant hypertension, Kidney stone"
N/A,,,
N/A,,,
N/A,,,
N/A,,,
"Jamie N. Bakkum-Gamez, M.D.","Gynecologic Oncologist, Gynecologist","Rochester, MN","Gynecological surgery, Endometriosis surgery, Debulking surgery, Abdominal hysterectomy, Hysteroscopy, Minimally invasi...ve hysterectomy, Diagnostic hysteroscopy, Vulvectomy, Sentinel node biopsy, Ovarian remnant removal, Conization, Vaginal hysterectomy, Vaginectomy, Trachelectomy, Minimally invasive surgery, Fertility sparing surgery, Robotic hysterectomy, Pelvic exenteration, Diagnostic laparoscopy, Cervical cerclage, Minimally invasive surgical staging, Robotic surgery, Uterine fibroid, Endometrial cancer, Ovarian cancer, Vulvar cancer, Vulvar dysplasia, Vaginal cancer, Cancer during pregnancy, Fallopian tube cancer, Cervical dysplasia, Germ cell tumor, Adnexal tumors, Cancer, Cervical cancer, Vulvodynia, Uterine polyps, Ovarian remnant syndrome, Peritoneal cancer, Ectopic pregnancy, Gynecologic cancer, Ovarian cyst, Endometriosis, Lower genital tract dysplasia"
N/A,,,
N/A,,,
N/A,,,
"Karim Bakri, M.B.B.S.","Hand Surgeon, Plastic Surgeon","Rochester, MN","Microvascular surgery, Carpal tunnel surgery, Fat grafting, Arthroscopy, Flap surgery, Vascularized bone grafting, Hand... reconstruction, Microvascular reconstruction, Flexor tendon repair surgery, Peripheral nerve tumor surgery, Hand surgery, Wrist arthroscopy, Cosmetic surgery, Hand fracture treatment, Wrist fracture treatment, Wrist fusion, Finger reattachment, Arthroplasty, Reconstructive surgery, Trigger finger, Thumb arthritis, Hand injury, Hand mass, Tendinopathy, Wrist pain, Cubital tunnel syndrome, Traumatic injury, Scaphoid nonunion, Carpal tunnel syndrome, Broken wrist, Dupuytren's contracture, Broken hand, Nerve entrapment, Hand arthritis"
N/A,,,
N/A,,,
N/A,,,
"Sophie J. Bakri, M.D.",Ophthalmologist,"Rochester, MN","Retinal surgery, Retinal disease"
N/A,,,
N/A,,,
"Vijayan Balan, M.D.","Transplant Hepatologist, Gastroenterologist","Phoenix, AZ",Hepatitis C
N/A,,,
N/A,,,
N/A,,,
"Beth A. Ballinger, M.D.","Acute Care Surgeon, Surgeon, Vascular Surgeon, General Surgeon","Rochester, MN","Anticoagulant therapy, Intensive care, Congenital hypercoagulability, Deep vein thrombosis"
N/A,,,
N/A,,,
N/A,,,
N/A,,,
N/A,,,
"Irina Bancos, M.D.","Internist, Endocrinologist","Rochester, MN","Pheochromocytoma, Benign adrenal tumor"
N/A,,,
N/A,,,
N/A,,,
"Ritu Banerjee, M.D., Ph.D.",,"Rochester, MN",
N/A,,,
"Stephen F. Bansberg, M.D.","Otolaryngologist, Facial Plastic Surgeon","Phoenix, AZ","Sinus surgery, Nose surgery, Botox injection, Rhinoplasty, Snoring, Sleep apnea"
N/A,,,
N/A,,,
N/A,,,
"Misbah Baqir, M.B.B.S.","Critical Care Specialist, Pulmonologist","Rochester, MN","Interstitial lung disease, Vasculitis"
N/A,,,
N/A,,,
N/A,,,
"Keith H. Baratz, M.D.",Ophthalmologist,"Rochester, MN","Cornea problems, Cataract, Keratoconus"
N/A,,,
N/A,,,
"Kim M. Barbel Johnson, D.O., M.P.H.",Hematologist / Oncologist,"Jacksonville, FL",
N/A,,,
N/A,,,
"Andrew J. Barkmeier, M.D.",Ophthalmologist,"Rochester, MN","Retinal surgery, Retinal detachment, Retinal disease, Diabetic retinopathy"
N/A,,,
N/A,,,
"Toure' (Toure) Barksdale, M.D.","Hospice & Palliative Medicine Specialist, Physiatrist, Palliative Care Specialist","Rochester, MN","Spasticity therapy, Ultrasound-guided cortisone injection, Spasticity management for spinal cord injury, Nerve block, J...oint injection, Cancer rehabilitation, Botox injection, Pneumatic compression, Hospice care, Cancer survivorship program, Stroke rehabilitation, Musculoskeletal exam, Joint examination, Inpatient rehabilitation , Viscosupplementation, Injection, Ultrasound-guided musculoskeletal injection, Physical examination, Palliative care, Pain management, Intramuscular injection, Trigger point injection, Soft tissue injection, Back pain management, Tendinopathy, Breast cancer-related lymphedema, Phantom pain, Sprain, Cervical herniated disk, Discogenic back pain, Rotator cuff injury, Strain, Brain cancer, Tennis elbow, Back pain, Rotator cuff tear, Knee bursitis, Cancer, Knee arthritis, Spondylolisthesis, Quadriparesis, Plantar fasciitis, Contracture, Knee disorder, Movement disorder, Shoulder arthritis, Piriformis syndrome, Knee pain, Lymphedema, Thoracic radiculopathy, Lumbar spondylosis, Leg pain, Lumbar spinal stenosis, Arthropathy, Spasticity, Paraparesis, Arthritis, Neuropathic pain syndrome, Lumbar pain, Neck pain, Herniated disk, Lumbar herniated disk, Ruptured disk, Lumbar radiculopathy, Hip arthritis, Sacroiliac pain syndromes, de Quervain's tenosynovitis, Radiculopathy, Neuropathy, Shoulder subluxation, Calcific tendinitis, Cartilage injury, Axial spondyloarthritis, Shoulder instability, Cervical spondylolisthesis, Breast cancer, Functional limitation, Sacroiliac joint dysfunction, Demyelinating neuropathy, Muscle atrophy, Frozen shoulder, Tendinosis, Sciatica, Cancer-related pain, Stroke, Hip tendinitis, Biceps tendinitis, Hip impingement, Foot drop, Sacroiliitis, Myalgic encephalomyelitis/chronic fatigue syndrome, Neurogenic bowel dysfunction, Shoulder impingement syndrome, Tendon pain, Hamstring injury, Bursitis, Brachial plexus neuropathy, Sports injury, Sciatic neuropathy, Rotator cuff tear arthropathy, Functional movement disorder, Tendinitis, Neurogenic bladder dysfunction, Cervical spondylosis, Balance problem, Functional neurologic disorder, Carpal tunnel syndrome, Gait unsteadiness, Median neuropathy, Cervical spinal stenosis, Medial collateral ligament sprain, Cervical radiculopathy, Peroneal neuropathy, Spondylolysis, Rotator cuff tendinitis, Shoulder disorder, Head and neck cancer, Sarcopenia, Delirium, Neurologic muscle weakness, Muscle weakness, Nerve compression syndrome, Osteoarthritis, Patellar tendinitis, Neuromuscular disorder, Neurocognitive disorder, Lateral collateral ligament sprain, Nerve entrapment, Cachexia"
